Homework,Instructions,Jupyter Notebook,Miscellaneous Files
1,"<a href =""https://osu.instructure.com/courses/158514/assignments/3814654""> Carmen  1</a>","<a href =""/cse5622/course_materials/hw/1/HW1_CRISP-DM_Template_V3.ipynb"">HW 1</a>",
2,"<a href=""https://osu.instructure.com/courses/158514/assignments/3814655""> Carmen 2 </a>","<a href =""/cse5622/course_materials/hw/2/SQLite_HW2_Sp23_V7.ipynb"">HW 2</a>","<a href =""/cse5622/course_materials/hw/2/MiscWikipediaCountryData.xls""> MiscWikipediaCountryData.xls </a> <br>
<a href =""/cse5622/course_materials/hw/2/state-abbrevs.csv""> state-abbrevs.csv </a> <br>
<a href =""/cse5622/course_materials/hw/2/state-areas.csv"">state-areas.csv </a> <br>
<a href =""/cse5622/course_materials/hw/2/state-populations.csv""> state-populations.csv </a> <br>"
3,,,
4,,,
5,,,
